JANUARY2020,33.0,26.0,30.0,28.0
FEBRUARY2020,30.0,38.0,23.0,8.0
MARCH2020,3.0,27.0,17.0,5.0
APRIL2020,37.0,5.0,17.0,23.0
MAY2020,39.0,0.0,11.0,38.0
JUNE2020,5.0,2.0,11.0,8.0
JULY2020,27.0,29.0,17.0,28.0
AUGUST2020,8.0,31.0,28.0,24.0
SEPTEMBER2020,17.0,13.0,16.0,14.0
OCTOBER2020,7.0,14.0,11.0,29.0
NOVEMBER2020,34.0,18.0,36.0,24.0
DECEMBER2020,25.0,35.0,28.0,31.0
JANUARY2021,29.0,3.0,22.0,20.0
FEBRUARY2021,27.0,33.0,14.0,26.0
MARCH2021,24.0,0.0,11.0,28.0
APRIL2021,4.0,12.0,29.0,21.0
MAY2021,1.0,9.0,31.0,22.0
JUNE2021,25.0,21.0,13.0,27.0
JULY2021,1.0,15.0,13.0,30.0
AUGUST2021,32.0,12.0,38.0,26.0
SEPTEMBER2021,14.0,23.0,36.0,16.0
OCTOBER2021,25.0,1.0,37.0,25.0
NOVEMBER2021,29.0,10.0,12.0,31.0
DECEMBER2021,19.0,21.0,33.0,6.0
JANUARY2022,26.0,23.0,30.0,31.0
FEBRUARY2022,7.0,13.0,22.0,1.0
MARCH2022,38.0,36.0,13.0,7.0
APRIL2022,6.0,10.0,33.0,26.0
MAY2022,34.0,7.0,0.0,5.0
JUNE2022,39.0,7.0,13.0,15.0
JULY2022,16.0,8.0,3.0,15.0
AUGUST2022,39.0,32.0,18.0,25.0
SEPTEMBER2022,25.0,11.0,21.0,16.0
OCTOBER2022,16.0,33.0,1.0,24.0
NOVEMBER2022,17.0,22.0,21.0,1.0
DECEMBER2022,21.0,33.0,25.0,9.0
JANUARY2023,10.0,5.0,39.0,25.0
FEBRUARY2023,28.0,9.0,9.0,11.0
MARCH2023,10.0,37.0,35.0,35.0
APRIL2023,3.0,10.0,15.0,2.0
MAY2023,7.0,13.0,38.0,16.0
JUNE2023,22.0,22.0,15.0,2.0
JULY2023,14.0,34.0,35.0,7.0
AUGUST2023,14.0,36.0,31.0,14.0
SEPTEMBER2023,19.0,33.0,28.0,6.0
OCTOBER2023,6.0,6.0,4.0,33.0
NOVEMBER2023,38.0,29.0,0.0,31.0
DECEMBER2023,16.0,24.0,9.0,9.0
JANUARY2024,13.0,17.0,39.0,12.0
FEBRUARY2024,34.0,39.0,14.0,1.0
MARCH2024,27.0,25.0,8.0,28.0
APRIL2024,36.0,9.0,10.0,12.0
MAY2024,8.0,19.0,24.0,10.0
JUNE2024,16.0,14.0,35.0,36.0
JULY2024,11.0,28.0,20.0,18.0
AUGUST2024,15.0,7.0,7.0,15.0
SEPTEMBER2024,1.0,36.0,15.0,11.0
OCTOBER2024,12.0,6.0,23.0,26.0
NOVEMBER2024,0,0,0,0
DECEMBER2024,0,0,0,0
