JANUARY2024,5.0,3.0,34.0,5.0
FEBRUARY2024,0.0,9.0,17.0,4.0
MARCH2024,3.0,20.0,33.0,22.0
APRIL2024,19.0,4.0,3.0,15.0
MAY2024,17.0,16.0,16.0,38.0
JUNE2024,29.0,6.0,31.0,22.0
JULY2024,13.0,16.0,1.0,23.0
AUGUST2024,38.0,30.0,5.0,25.0
SEPTEMBER2024,24.0,15.0,3.0,15.0
OCTOBER2024,15.0,36.0,13.0,3.0
NOVEMBER2024,30.0,1.0,24.0,10.0
DECEMBER2024,0,0,0,0 
JANUARY2025,0,0,0,0 
FEBRUARY2025,0,0,0,0 
MARCH2025,0,0,0,0 
APRIL2025,0,0,0,0 
MAY2025,0,0,0,0 
JUNE2025,0,0,0,0 
JULY2025,0,0,0,0 
AUGUST2025,0,0,0,0 
SEPTEMBER2025,0,0,0,0 
OCTOBER2025,0,0,0,0 
DECEMBER2024,0,0,0,0 
JANUARY2025,0,0,0,0 
FEBRUARY2025,0,0,0,0 
MARCH2025,0,0,0,0 
APRIL2025,0,0,0,0 
MAY2025,0,0,0,0 
JUNE2025,0,0,0,0 
JULY2025,0,0,0,0 
AUGUST2025,0,0,0,0 
SEPTEMBER2025,0,0,0,0 
OCTOBER2025,0,0,0,0 
